date,Donald Trump,Kamala Harris,Michelle Obama,Nikki Haley,RFK Jr,Hillary Clinton,JD Vance,Tim  Walz,Gavin Newsom,Tucker Carlson,Mark Cuban,Pete Buttigieg,Kristi Noem,Tulsi Gabbard,Ron DeSantis,Joe Biden,Mike Pence,Andrew Cuomo,Ted Cruz,Mike Pompeo,Elizabeth Warren,Amy Klobuchar,Andrew Yang,Cory Booker,Donald Trump Jr,Vivek Ramaswamy,Michael Flynn,Jamie Dimon,Gretchen Whitmer,Dean Phillips,Dwayne Johnson,Tim Scott,Oprah Winfrey,Joe Manchin,Ben Carson,JB Pritzker,Candace Owens,Chris Christie,Doug Burgum,Ivanka Trump,Josh Hawley,Nina Turner,John Fetterman,JonTester,Josh Mandel,Marco Rubio,Winsome Sears,Nancy Mace,Marianne Williamson,Elise Stefanik,Cornel West,Ayanna Pressley,Ben Sasse,Charles Ernest Grassley,Chris Murphy,Cori Bush,Dan Pfeiffer,Deval Patrick,Condoleezza Rice,Dan Crenshaw,Greg Abbott,Karen Bass,Eric Adams,Eric Garcetti,Eric Holder,Eric Swalwell,Gary Peters,Herschel Walker,Jared Polic,Jason Kander,Jo Jorgensen,John Bolton,Martin Heinrich,Michael Bloomberg,Mitch Landrieu,Rand Paul,Rashida Tlaib,Rob Portman,Susan Collins,Tim  Ryan,Tony Evers,Lee Zeldin,Paul Ryan,Sarah Huckabee Sanders
21/11/2023,2.62,60.0,32.0,14.5,20.0,350.0,,,9.0,490.0,,770.0,,,38.0,3.55,720.0,510.0,780.0,,140.0,780.0,,,,70.0,,610.0,180.0,,350.0,,,120.0,,,,800.0,600.0,,,,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/11/2023,2.58,65.0,29.0,13.5,24.0,340.0,,,9.8,600.0,,710.0,,,44.0,3.6,720.0,580.0,780.0,,100.0,830.0,,,,70.0,,600.0,260.0,,480.0,,,150.0,,,,770.0,600.0,,,,740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2023,2.56,60.0,36.0,10.5,28.0,280.0,,,15.5,560.0,380.0,850.0,,,55.0,3.1,1000.0,470.0,1000.0,,180.0,,,,,90.0,,760.0,340.0,,810.0,,,190.0,,,,710.0,1000.0,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2023,2.44,55.0,40.0,13.5,20.0,310.0,,,15.5,310.0,280.0,820.0,,,46.0,3.15,1000.0,660.0,1000.0,,140.0,,,,,85.0,,640.0,240.0,100.0,270.0,,,220.0,,,,660.0,1000.0,,,,1000.0,,,100.0,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/12/2023,2.34,55.0,42.0,16.0,32.0,320.0,,,14.5,450.0,160.0,500.0,,,55.0,3.4,1000.0,690.0,1000.0,,150.0,870.0,,,,75.0,,610.0,140.0,100.0,380.0,,,190.0,,,,230.0,1000.0,,,,1000.0,,,1000.0,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,870.0,,,,,,,,,,
24/12/2023,2.44,55.0,50.0,10.0,30.0,160.0,,,15.0,420.0,420.0,610.0,,,60.0,3.4,720.0,510.0,680.0,,200.0,900.0,,,,85.0,340.0,560.0,200.0,100.0,700.0,,,180.0,810.0,,,250.0,600.0,,,,740.0,,,230.0,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,880.0,,,,,,,,,,
31/12/2023,2.48,60.0,50.0,9.8,30.0,170.0,,,15.0,500.0,275.0,700.0,,,60.0,3.45,1000.0,910.0,1000.0,,220.0,810.0,,,,80.0,800.0,500.0,200.0,90.0,800.0,,,190.0,1000.0,,,180.0,1000.0,,,,1000.0,,,1000.0,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
7/01/2024,2.54,65.0,50.0,10.0,29.0,210.0,,,16.5,500.0,130.0,800.0,,,65.0,3.4,1000.0,550.0,1000.0,,150.0,790.0,,,,55.0,900.0,630.0,200.0,60.0,610.0,,,190.0,1000.0,,,190.0,1000.0,,,,1000.0,,,1000.0,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
14/01/2024,2.38,75.0,26.0,12.0,34.0,360.0,,,32.0,580.0,360.0,730.0,,,75.0,3.15,1000.0,720.0,1000.0,,170.0,780.0,,,,50.0,1000.0,530.0,270.0,85.0,510.0,,,270.0,1000.0,,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
20/01/2024,2.32,75.0,24.0,22.0,30.0,440.0,,,27.0,510.0,520.0,1000.0,,,120.0,2.88,1000.0,1000.0,1000.0,,160.0,1000.0,,,,250.0,1000.0,650.0,300.0,65.0,510.0,,,310.0,830.0,,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
27/01/2024,2.16,90.0,18.0,22.0,46.0,320.0,,,36.0,650.0,920.0,1000.0,,,350.0,2.92,1000.0,1000.0,1000.0,,330.0,1000.0,,,,370.0,1000.0,330.0,330.0,110.0,590.0,,,330.0,700.0,,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
4/02/2024,2.22,70.0,17.0,22.0,42.0,330.0,,,30.0,480.0,630.0,1000.0,,,380.0,3.0,1000.0,1000.0,1000.0,,200.0,1000.0,,,,380.0,960.0,310.0,310.0,250.0,680.0,,,370.0,820.0,,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
10/02/2024,2.16,29.0,13.0,29.0,38.0,250.0,,,17.5,620.0,800.0,550.0,,,270.0,3.8,1000.0,1000.0,1000.0,,210.0,800.0,,,,300.0,960.0,280.0,95.0,140.0,610.0,,,410.0,820.0,,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
17/02/2024,2.3,32.0,13.5,34.0,34.0,240.0,,,17.5,730.0,870.0,910.0,,,320.0,3.35,1000.0,1000.0,1000.0,,140.0,1000.0,,,,330.0,1000.0,370.0,120.0,250.0,610.0,,,820.0,770.0,,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,900.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
25/02/2024,2.28,26.0,12.5,32.0,34.0,240.0,,,23.0,740.0,880.0,930.0,,,330.0,3.55,1000.0,1000.0,1000.0,,110.0,1000.0,,,,420.0,1000.0,470.0,140.0,240.0,400.0,,,840.0,800.0,,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
3/03/2024,2.08,40.0,13.5,38.0,30.0,310.0,,,22.0,710.0,900.0,990.0,,,360.0,3.7,1000.0,1000.0,1000.0,,190.0,1000.0,,,,160.0,1000.0,600.0,110.0,350.0,410.0,,,870.0,510.0,,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
9/03/2024,2.14,46.0,24.0,120.0,36.0,260.0,,,28.0,940.0,880.0,800.0,,,430.0,3.05,1000.0,1000.0,1000.0,,240.0,1000.0,,,,260.0,1000.0,1000.0,110.0,520.0,620.0,,,860.0,870.0,,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
17/03/2024,2.06,50.0,27.0,150.0,32.0,280.0,,,34.0,1000.0,900.0,930.0,,,380.0,2.84,1000.0,1000.0,1000.0,,280.0,1000.0,,,,350.0,1000.0,870.0,80.0,460.0,730.0,,,1000.0,630.0,460.0,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
23/03/2024,2.06,55.0,32.0,140.0,34.0,270.0,,,65.0,1000.0,1000.0,1000.0,,,450.0,2.62,1000.0,1000.0,1000.0,,400.0,1000.0,,,,430.0,1000.0,920.0,110.0,760.0,970.0,,,1000.0,670.0,630.0,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
30/03/2024,2.22,46.0,40.0,85.0,34.0,270.0,,,60.0,1000.0,1000.0,1000.0,860.0,600.0,350.0,2.48,1000.0,1000.0,1000.0,,330.0,1000.0,,,,210.0,1000.0,860.0,100.0,880.0,950.0,750.0,670.0,1000.0,450.0,450.0,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
14/04/2024,2.32,70.0,29.0,95.0,27.0,230.0,,,48.0,1000.0,970.0,1000.0,1000.0,1000.0,300.0,2.48,1000.0,1000.0,1000.0,,380.0,1000.0,,,,200.0,650.0,810.0,150.0,1000.0,500.0,640.0,1000.0,1000.0,580.0,860.0,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
20/04/2024,2.28,70.0,29.0,100.0,30.0,350.0,,,65.0,1000.0,1000.0,1000.0,1000.0,1000.0,300.0,2.36,1000.0,1000.0,1000.0,,520.0,1000.0,,,,250.0,630.0,810.0,220.0,940.0,900.0,800.0,1000.0,1000.0,740.0,1000.0,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,
28/04/2024,2.26,75.0,36.0,90.0,28.0,370.0,,,75.0,1000.0,1000.0,1000.0,1000.0,1000.0,280.0,2.34,1000.0,1000.0,1000.0,,500.0,1000.0,,,,260.0,710.0,810.0,210.0,870.0,760.0,820.0,1000.0,1000.0,860.0,1000.0,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,280.0,,
