poll_id,fte_grade,transparency_score,sample_size,party,candidate_id,candidate_name,pct
84924,A-,7.0,1000.0,DEM,19368,Joe Biden,43.2
84924,A-,7.0,1000.0,REP,16651,Donald Trump,47.4
84924,A-,7.0,1000.0,DEM,19368,Joe Biden,36.7
84924,A-,7.0,1000.0,REP,16651,Donald Trump,43.4
84924,A-,7.0,1000.0,IND,31042,Robert F. Kennedy,6.5
84924,A-,7.0,1000.0,IND,31097,Cornel West,0.7
84924,A-,7.0,1000.0,GRE,31116,Jill Stein,1.1
84924,A-,7.0,1000.0,DEM,19368,Joe Biden,38.9
84924,A-,7.0,1000.0,REP,16640,Nikki Haley,38.6
84875,B+,9.0,1291.0,DEM,19368,Joe Biden,42.0
84875,B+,9.0,1291.0,REP,16651,Donald Trump,41.0
84889,,6.0,1500.0,DEM,19368,Joe Biden,43.0
84889,,6.0,1500.0,REP,16651,Donald Trump,47.0
84889,,6.0,1500.0,DEM,19368,Joe Biden,31.0
84889,,6.0,1500.0,REP,16651,Donald Trump,37.0
84889,,6.0,1500.0,IND,31042,Robert F. Kennedy,8.0
84889,,6.0,1500.0,IND,31018,"Joe Manchin, III",3.0
84889,,6.0,1500.0,IND,31097,Cornel West,3.0
84889,,6.0,1500.0,GRE,31116,Jill Stein,2.0
84889,,6.0,1500.0,LIB,31061,Lars Mapstead,1.0
84889,,6.0,1500.0,DEM,19368,Joe Biden,45.0
84889,,6.0,1500.0,REP,16646,Ron DeSantis,45.0
84889,,6.0,1500.0,DEM,19368,Joe Biden,34.0
84889,,6.0,1500.0,REP,16640,Nikki Haley,51.0
84858,B-,3.0,5800.0,DEM,19368,Joe Biden,43.0
84858,B-,3.0,5800.0,REP,16651,Donald Trump,43.0
84868,B-,7.0,3021.0,DEM,19368,Joe Biden,30.1
84868,B-,7.0,3021.0,REP,16651,Donald Trump,37.9
84868,B-,7.0,3021.0,IND,31042,Robert F. Kennedy,12.2
84868,B-,7.0,3021.0,IND,31097,Cornel West,3.0
84868,B-,7.0,2505.0,DEM,19368,Joe Biden,34.0
84868,B-,7.0,2505.0,REP,16651,Donald Trump,39.8
84868,B-,7.0,2505.0,IND,31042,Robert F. Kennedy,12.3
84868,B-,7.0,2505.0,IND,31097,Cornel West,2.9
84868,B-,7.0,2219.0,DEM,19368,Joe Biden,36.3
84868,B-,7.0,2219.0,REP,16651,Donald Trump,41.8
84868,B-,7.0,2219.0,IND,31042,Robert F. Kennedy,11.7
84868,B-,7.0,2219.0,IND,31097,Cornel West,2.8
84853,A-,3.0,1301.0,DEM,19368,Joe Biden,39.0
84853,A-,3.0,1301.0,REP,16651,Donald Trump,41.0
84853,A-,3.0,1301.0,DEM,19368,Joe Biden,33.0
84853,A-,3.0,1301.0,REP,16651,Donald Trump,38.0
84853,A-,3.0,1301.0,IND,31042,Robert F. Kennedy,11.0
84853,A-,3.0,1301.0,IND,31097,Cornel West,2.0
84853,A-,3.0,1301.0,GRE,31116,Jill Stein,2.0
84849,B/C,6.0,550.0,DEM,19368,Joe Biden,34.0
84849,B/C,6.0,550.0,REP,16651,Donald Trump,39.0
84849,B/C,6.0,550.0,IND,31042,Robert F. Kennedy,4.0
84849,B/C,6.0,550.0,IND,31097,Cornel West,1.0
84849,B/C,6.0,550.0,DEM,19368,Joe Biden,43.0
84849,B/C,6.0,550.0,REP,16651,Donald Trump,48.0
84850,B/C,6.0,550.0,DEM,19368,Joe Biden,36.0
84850,B/C,6.0,550.0,REP,16651,Donald Trump,39.0
84850,B/C,6.0,550.0,IND,31042,Robert F. Kennedy,2.0
84850,B/C,6.0,550.0,IND,31097,Cornel West,1.0
84850,B/C,6.0,550.0,DEM,19368,Joe Biden,44.0
84850,B/C,6.0,550.0,REP,16651,Donald Trump,46.0
84851,B/C,6.0,550.0,DEM,19368,Joe Biden,37.0
84851,B/C,6.0,550.0,REP,16651,Donald Trump,32.0
84851,B/C,6.0,550.0,IND,31042,Robert F. Kennedy,6.0
84851,B/C,6.0,550.0,IND,31097,Cornel West,1.0
84851,B/C,6.0,550.0,GRE,31116,Jill Stein,2.0
84851,B/C,6.0,550.0,DEM,19368,Joe Biden,45.0
84851,B/C,6.0,550.0,REP,16651,Donald Trump,41.0
84859,B,6.0,2018.0,DEM,19368,Joe Biden,47.0
84859,B,6.0,2018.0,REP,16651,Donald Trump,53.0
84859,B,6.0,2018.0,DEM,19368,Joe Biden,49.0
84859,B,6.0,2018.0,REP,16646,Ron DeSantis,51.0
84859,B,6.0,2018.0,DEM,19368,Joe Biden,45.0
84859,B,6.0,2018.0,REP,16640,Nikki Haley,55.0
84862,B/C,9.0,1103.0,DEM,19368,Joe Biden,33.0
84862,B/C,9.0,1103.0,REP,16651,Donald Trump,40.0
